track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,87
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,87
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,97
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",Ella Baila Sola,2023-03-16,1,165671,90
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,81
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,91
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,86
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,89
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,97
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),2022-08-25,1,239317,94
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,88
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,86
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,93
All Of The Girls You Loved Before,['Taylor Swift'],All Of The Girls You Loved Before,2019-08-23,1,221407,89
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,90
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,79
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,86
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,92
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,93
